Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,22-07-2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2467703911,,,,,
Andorra,AND,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,1022871402,1070429537,1157666822,1247831302,1317944270,1325090207,1368868424,1407724771,1428319833,1428913250,1460474059,1458539388,1476719523,1502859169,1529680510,1565191061,1616111762,1705759462,1792656380,1879188446,1950247955,1999901281,2018484671,1997664169,2045272407,2101670671,2199392934,2398826714,2475464141,2576935425,2606977005,2765136580,2942847626,3296693262,3562720067,3842026792,4018195654,4021331428,3675727911,3535389133,3346317329,3185604582,3129537612,3127549908,,
Afghanistan,AFG,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8013233122,8689883606,8781610175,9762978844,10305228125,11721187594,12144482858,14697331941,15936800636,16911126453,19352203806,19731337261,19990317161,20294152243
Angola,AGO,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,27308217745,28072847844,30290602825,31986876577,32114824090,32018479612,31634257860,29451494067,22176975036,22953169160,25340298757,28178412209,30404506777,32473461136,33525536222,34535350910,35993076036,33494990432,35252638226,39087976314,46226007691,55811028115,68420444001,77874196512,79753199398,82470913121,85702615836,90120963241,96261432368,1.00886E+11,1.03911E+11
Albania,ALB,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,5442066397,5754747683,5924431989,5989893305,5914924002,6020247739,6359623745,6309519917,6219922230,6831747928,6177564328,4349684962,4036507645,4424012380,4791205407,5428435726,5922423377,5280559675,5756277509,6533442516,6969002335,7522364217,7840663356,8293343316,8766856445,9268392517,9771760095,10348293942,11127520474,11500292411,11926953259,12231090568,12404772054,12542465022,12793314323,13120823169
Arab World,ARB,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,5.04081E+11,5.69088E+11,6.18308E+11,6.30119E+11,6.96828E+11,7.67025E+11,7.9753E+11,7.72723E+11,7.51191E+11,7.64002E+11,7.59937E+11,7.63501E+11,7.68118E+11,7.97139E+11,8.16492E+11,9.04527E+11,8.93742E+11,9.39314E+11,9.77341E+11,1.01094E+12,1.04052E+12,1.09107E+12,1.1441E+12,1.20454E+12,1.24126E+12,1.30496E+12,1.33369E+12,1.35367E+12,1.41098E+12,1.5484E+12,1.64364E+12,1.76382E+12,1.86348E+12,1.98098E+12,2.011E+12,2.10382E+12,2.1739E+12,2.31827E+12,2.38558E+12,2.43666E+12,2.50907E+12
United Arab Emirates,ARE,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,56055910246,65320190085,79324401300,78063457999,94397122680,1.16934E+11,1.22382E+11,1.14159E+11,1.08741E+11,1.13109E+11,1.09044E+11,92732830340,95869037705,93358316076,1.04877E+11,1.24099E+11,1.25166E+11,1.29353E+11,1.30984E+11,1.40017E+11,1.49381E+11,1.58043E+11,1.70987E+11,1.71486E+11,1.76463E+11,1.95614E+11,1.98351E+11,2.03178E+11,2.21059E+11,2.42206E+11,2.53966E+11,2.78949E+11,2.87832E+11,2.97019E+11,2.81446E+11,2.86049E+11,3.00946E+11,3.21692E+11,3.35594E+11,3.50931E+11,3.621E+11
Argentina,ARG,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,1.20674E+11,1.27224E+11,1.2614E+11,1.19444E+11,1.31544E+11,1.45448E+11,1.44488E+11,1.491E+11,1.56291E+11,1.71419E+11,1.7664E+11,1.86634E+11,1.89673E+11,1.95006E+11,2.05798E+11,2.05739E+11,2.01587E+11,2.15565E+11,2.05852E+11,2.26895E+11,2.36315E+11,2.2287E+11,2.11822E+11,2.2003E+11,2.24897E+11,2.07835E+11,2.24203E+11,2.30728E+11,2.24828E+11,2.07975E+11,2.02985E+11,2.28703E+11,2.56012E+11,2.71135E+11,2.86958E+11,2.78794E+11,2.94202E+11,3.18065E+11,3.30311E+11,3.19128E+11,3.1661E+11,3.02652E+11,2.69679E+11,2.93511E+11,3.20014E+11,3.4945E+11,3.78814E+11,4.08989E+11,4.21565E+11,4.21776E+11,4.6164E+11,5.00355E+11,5.04367E+11,5.1892E+11,5.21274E+11,
Armenia,ARM,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6357857590,5613988348,3267341064,2979815090,3140725188,3357435176,3554362204,3672405406,3940491000,4070527203,4310688308,4722645336,5345387543,6095922453,6734033975,7667755682,8679746346,9873142201,10554389013,9060944166,9260284938,9695518330,10393595650,10736584306,11112364757,11445735700
American Samoa,ASM,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,306603782.2,319432463.7,342890213.7,372361848,387568058.7,388216472,406378750.2,446015372.3,481653390.6,542916938.9,587779116.4,619647321.7,655418839.3,672099917,685786802.3,691603563,728881697.6,775002576.8,742632124.4,792682270.6,831411470,868057376.9,903835269.3,949404558.4,919078280.2,945954440,1001894699,1054859062,1119028549,1268714285,1389228751,1390216646,1222889961,1135539037,1115173876,1159998756,1155982145,1211723377,1256122384
Australia,AUS,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,1.98339E+11,2.0325E+11,2.05949E+11,2.18743E+11,2.34003E+11,2.47996E+11,2.53862E+11,2.69848E+11,2.8359E+11,3.03583E+11,3.2534E+11,3.38384E+11,3.51617E+11,3.60755E+11,3.75534E+11,3.8056E+11,3.90415E+11,4.04498E+11,4.08127E+11,4.24667E+11,4.37626E+11,4.52322E+11,4.67345E+11,4.5692E+11,4.78062E+11,5.03158E+11,5.23795E+11,5.3728E+11,5.68276E+11,5.90318E+11,6.11151E+11,6.0883E+11,6.11259E+11,6.36077E+11,6.61761E+11,6.87431E+11,7.14579E+11,7.42786E+11,7.75752E+11,8.14595E+11,8.46109E+11,8.62434E+11,8.95695E+11,9.232E+11,9.61507E+11,9.92339E+11,1.02194E+12,1.06034E+12,1.09964E+12,1.11965E+12,1.14225E+12,1.16943E+12,1.21191E+12,1.24148E+12,1.27252E+12,1.30125E+12
Austria,AUT,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,92237791418,97345901229,99924277888,1.04059E+11,1.10432E+11,1.14276E+11,1.20724E+11,1.24355E+11,1.29917E+11,1.3807E+11,1.45728E+11,1.53182E+11,1.62691E+11,1.70647E+11,1.77375E+11,1.76729E+11,1.84821E+11,1.9421E+11,1.93801E+11,2.04182E+11,2.07717E+11,2.07418E+11,2.11589E+11,2.1788E+11,2.17992E+11,2.23439E+11,2.28581E+11,2.31683E+11,2.39319E+11,2.48622E+11,2.59426E+11,2.68354E+11,2.73972E+11,2.75416E+11,2.82031E+11,2.89556E+11,2.965E+11,3.03038E+11,3.13826E+11,3.25093E+11,3.36043E+11,3.40582E+11,3.46221E+11,3.48839E+11,3.58278E+11,3.65947E+11,3.7821E+11,3.91907E+11,3.9797E+11,3.82851E+11,3.90235E+11,4.01193E+11,4.04231E+11,4.0553E+11,4.06963E+11,4.10472E+11
Azerbaijan,AZE,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22325675015,22169395298,17159111874,13195357108,10595871755,9345558793,9467051076,10016140088,11017754125,11833067994,13146538453,14448045760,15979538495,17769246844,19581710093,24751281716,33290473787,41629404407,46113899019,50453518393,52902703376,52937578302,54102205125,57238335961,58383102680,59025316810
Burundi,BDI,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,596608253.7,514597677.4,561236477.6,584445892.5,621108404.9,645749176.6,675537540.2,768907087,766616638.4,755427553.1,916527545.7,941702987.5,881396658.5,942116521.3,935268845.7,941796276.2,1016599962,1133198417,1122539825,1141229607,1152539828,1292726424,1279106260,1326629241,1328692733,1485254992,1533528459,1617920004,1699317954,1722250288,1782525984,1871595893,1890498980,1772531844,1704643875,1569636080,1444065193,1421104557,1488607023,1473572092,1460945583,1490979806,1557276512,1538219684,1612571959,1627085107,1714698066,1796760634,1887463245,1952928500,2026864469,2111823041,2196704928,2297622744,2404713060,2343732768
Belgium,BEL,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,1.20564E+11,1.26566E+11,1.33163E+11,1.38957E+11,1.48624E+11,1.53916E+11,1.58774E+11,1.64915E+11,1.71832E+11,1.83224E+11,1.94139E+11,2.01877E+11,2.12568E+11,2.26133E+11,2.36457E+11,2.31808E+11,2.44912E+11,2.46445E+11,2.53449E+11,2.59382E+11,2.7091E+11,2.70153E+11,2.7176E+11,2.72608E+11,2.79331E+11,2.83945E+11,2.89121E+11,2.9579E+11,3.09761E+11,3.20507E+11,3.30562E+11,3.36622E+11,3.41774E+11,3.38487E+11,3.4941E+11,3.57742E+11,3.63442E+11,3.76928E+11,3.84374E+11,3.98069E+11,4.12534E+11,4.15882E+11,4.23286E+11,4.26565E+11,4.42069E+11,4.51327E+11,4.62608E+11,4.78325E+11,4.81899E+11,4.70888E+11,4.83577E+11,4.92267E+11,4.93048E+11,4.93063E+11,4.9945E+11,5.06312E+11
Benin,BEN,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,1265426253,1305176841,1260456133,1320076061,1407871140,1482401907,1535410564,1551968411,1611600246,1657974011,1692754286,1667416432,1774570741,1840339266,1901793939,1808694556,1824689861,1915626267,1939668872,2066440730,2206581861,2426230120,2480457973,2372612057,2560756387,2753589661,2813373992,2771173299,2865538547,2783751478,3033624751,3161819648,3255337130,3445324207,3514933553,3727418268,3888602421,4111601652,4274462693,4502780954,4766643562,5020725248,5253911327,5434858389,5675602454,5772744796,6000595826,6359822427,6671033591,6825749998,6970240895,7176751732,7509969971,8026580503,8551638195,8999782271
